time,voltage_drain,voltage_actual,current
23193.693826,3.354149,,0.000000
23193.693826,,3.550195,0.000000
23235.532722,3.352070,,0.000000
23235.532722,,3.548260,0.000000
23277.401871,3.350063,,0.000000
23277.401871,,3.546253,0.000000
23319.257821,3.348271,,0.000000
23319.257821,,3.544389,0.000000
23361.081949,3.345977,,0.000000
23361.081949,,3.542382,0.000000
23402.897850,3.344042,,0.000000
23402.897850,,3.540375,0.000000
23444.737880,3.342393,,0.000000
23444.737880,,3.538439,0.000000
23486.589829,3.340530,,0.000000
23486.589829,,3.536576,0.000000
23528.401904,3.338451,,0.000000
23528.401904,,3.534497,0.000000
23570.269864,3.336372,,0.000000
23570.269864,,3.532562,0.000000
23612.125847,3.334365,,0.000000
23612.125847,,3.530483,0.000000
23653.977863,3.332429,,0.000000
23653.977863,,3.528476,0.000000
23695.825884,3.330279,,0.000000
23695.825884,,3.526469,0.000000
23737.689884,3.328129,,0.000000
23737.689884,,3.524390,0.000000
23779.543457,3.326050,,0.000000
23779.543457,,3.522311,0.000000
23821.369867,3.323756,,0.000000
23821.369867,,3.520304,0.000000
23863.189888,3.321821,,0.000000
23863.189888,,3.518154,0.000000
23905.029916,3.319814,,0.000000
23905.029916,,3.516147,0.000000
23946.901897,3.317520,,0.000000
23946.901897,,3.513925,0.000000
23988.737985,3.315370,,0.000000
23988.737985,,3.511703,0.000000
24030.601879,3.313147,,0.000000
24030.601879,,3.509552,0.000000
24072.457925,3.310925,,0.000000
24072.457925,,3.507545,0.000000
24114.297937,3.308560,,0.000000
24114.297937,,3.505180,0.000000
24156.161861,3.306266,,0.000000
24156.161861,,3.503029,0.000000
24198.001927,3.303972,,0.000000
24198.001927,,3.500664,0.000000
24239.881905,3.301535,,0.000000
24239.881905,,3.498298,0.000000
24281.733861,3.299385,,0.000000
24281.733861,,3.496076,0.000000
24323.589891,3.296876,,0.000000
24323.589891,,3.493783,0.000000
24365.425939,3.294510,,0.000000
24365.425939,,3.491489,0.000000
24407.281919,3.291930,,0.000000
24407.281919,,3.488908,0.000000
24449.153860,3.289421,,0.000000
24449.153860,,3.486614,0.000000
24491.005885,3.286984,,0.000000
24491.005885,,3.484034,0.000000
24532.849942,3.284404,,0.000000
24532.849942,,3.481669,0.000000
24574.869730,3.281823,,0.000000
24574.869730,,3.479088,0.000000
24616.713885,3.279314,,0.000000
24616.713885,,3.476436,0.000000
24658.497926,3.276662,,0.000000
24658.497926,,3.473855,0.000000
24700.301930,3.273795,,0.000000
24700.301930,,3.471131,0.000000
24742.113893,3.271071,,0.000000
24742.113893,,3.468479,0.000000
24783.953868,3.268132,,0.000000
24783.953868,,3.465899,0.000000
24825.773910,3.265480,,0.000000
24825.773910,,3.463103,0.000000
24867.601888,3.262398,,0.000000
24867.601888,,3.460379,0.000000
24909.481971,3.259602,,0.000000
24909.481971,,3.457655,0.000000
24951.337916,3.256591,,0.000000
24951.337916,,3.454717,0.000000
24993.192703,3.253509,,0.000000
24993.192703,,3.451849,0.000000
25035.037884,3.250570,,0.000000
25035.037884,,3.448982,0.000000
25076.901921,3.247416,,0.000000
25076.901921,,3.446043,0.000000
25118.753852,3.244119,,0.000000
25118.753852,,3.442961,0.000000
25160.601904,3.240893,,0.000000
25160.601904,,3.439879,0.000000
25202.449884,3.237883,,0.000000
25202.449884,,3.436868,0.000000
25244.317854,3.234729,,0.000000
25244.317854,,3.433786,0.000000
25286.173854,3.231217,,0.000000
25286.173854,,3.430489,0.000000
25327.994022,3.227919,,0.000000
25327.994022,,3.427406,0.000000
25369.801891,3.224550,,0.000000
25369.801891,,3.424181,0.000000
25411.657870,3.221038,,0.000000
25411.657870,,3.420812,0.000000
25453.525871,3.217454,,0.000000
25453.525871,,3.417658,0.000000
25495.381863,3.214085,,0.000000
25495.381863,,3.414360,0.000000
25537.233902,3.210358,,0.000000
25537.233902,,3.410848,0.000000
25579.081864,3.206630,,0.000000
25579.081864,,3.407407,0.000000
25620.941871,3.202831,,0.000000
25620.941871,,3.404038,0.000000
25662.793869,3.199104,,0.000000
25662.793869,,3.400311,0.000000
25704.645862,3.195161,,0.000000
25704.645862,,3.396799,0.000000
25746.501867,3.191219,,0.000000
25746.501867,,3.393071,0.000000
25788.353913,3.187348,,0.000000
25788.353913,,3.389416,0.000000
25830.209845,3.183191,,0.000000
25830.209845,,3.385760,0.000000
25872.049875,3.178962,,0.000000
25872.049875,,3.382033,0.000000
25913.916904,3.174947,,0.000000
25913.916904,,3.378018,0.000000
25955.773862,3.170718,,0.000000
25955.773862,,3.374219,0.000000
25997.625859,3.166346,,0.000000
25997.625859,,3.370277,0.000000
26039.445881,3.161901,,0.000000
26039.445881,,3.366334,0.000000
26081.257876,3.157529,,0.000000
26081.257876,,3.362464,0.000000
26123.121853,3.153013,,0.000000
26123.121853,,3.358306,0.000000
26164.977851,3.148282,,0.000000
26164.977851,,3.354077,0.000000
26206.801857,3.143480,,0.000000
26206.801857,,3.350063,0.000000
26248.601846,3.138892,,0.000000
26248.601846,,3.345906,0.000000
26290.425893,3.134376,,0.000000
26290.425893,,3.341748,0.000000
26332.241884,3.129430,,0.000000
26332.241884,,3.337662,0.000000
26374.021869,3.124843,,0.000000
26374.021869,,3.333720,0.000000
26415.848698,3.120398,,0.000000
26415.848698,,3.330208,0.000000
26457.704798,3.116026,,0.000000
26457.704798,,3.326408,0.000000
26499.545889,3.111653,,0.000000
26499.545889,,3.322753,0.000000
26541.401859,3.107711,,0.000000
