time,voltage,current
215.279964,3.127240,1.999485
215.799958,3.126959,1.999511
216.319979,3.126680,1.999498
216.839979,3.126400,1.999498
217.359975,3.126121,1.999485
217.879994,3.125840,1.999485
218.399981,3.125564,1.999498
218.919979,3.125283,1.999511
219.439974,3.125004,1.999498
219.959947,3.124725,1.999524
220.479959,3.124444,1.999511
220.999965,3.124163,1.999511
221.519975,3.123884,1.999498
222.039942,3.123607,1.999485
222.559941,3.123327,1.999498
223.079951,3.123048,1.999498
223.599964,3.122768,1.999524
224.119967,3.122491,1.999472
224.639963,3.122207,1.999498
225.160029,3.121928,1.999485
225.679974,3.121646,1.999485
226.199944,3.121362,1.999498
226.719961,3.121084,1.999472
227.239969,3.120804,1.999498
227.759967,3.120524,1.999498
228.280015,3.120240,1.999511
228.799970,3.119962,1.999433
229.319970,3.119678,1.999498
229.839948,3.119402,1.999524
230.359989,3.119121,1.999511
230.879975,3.118835,1.999498
231.399978,3.118555,1.999485
231.919981,3.118275,1.999472
232.439944,3.117997,1.999485
232.959946,3.117714,1.999498
233.479965,3.117434,1.999524
233.999965,3.117150,1.999524
234.519970,3.116869,1.999485
235.039971,3.116588,1.999472
235.559971,3.116303,1.999498
236.079967,3.116024,1.999511
236.599960,3.115739,1.999511
237.119955,3.115461,1.999485
237.639960,3.115175,1.999511
238.159945,3.114896,1.999472
238.679943,3.114612,1.999498
239.199969,3.114332,1.999524
239.719968,3.114051,1.999524
240.239976,3.113768,1.999498
240.759983,3.113487,1.999498
241.279971,3.113205,1.999498
241.799966,3.112923,1.999472
242.319968,3.112640,1.999524
242.839958,3.112360,1.999485
243.359963,3.112077,1.999511
243.879960,3.111792,1.999485
244.399953,3.111511,1.999537
244.919982,3.111229,1.999498
245.439979,3.110949,1.999498
245.959967,3.110663,1.999485
246.479947,3.110383,1.999485
246.999976,3.110098,1.999537
247.519974,3.109819,1.999511
248.039973,3.109534,1.999498
248.559987,3.109254,1.999511
249.079976,3.108969,1.999524
249.599971,3.108685,1.999537
250.119981,3.108402,1.999498
250.639976,3.108119,1.999498
251.159981,3.107835,1.999485
251.679975,3.107550,1.999537
252.199981,3.107267,1.999537
252.719985,3.106983,1.999550
253.239967,3.106699,1.999537
253.759970,3.106417,1.999511
254.279962,3.106130,1.999511
254.799958,3.105848,1.999498
255.319960,3.105564,1.999524
255.839959,3.105280,1.999537
256.360013,3.104996,1.999524
256.879998,3.104711,1.999511
257.399973,3.104427,1.999511
257.919972,3.104146,1.999524
258.439976,3.103859,1.999524
258.959978,3.103570,1.999550
259.479983,3.103287,1.999485
259.999973,3.102996,1.999511
260.519987,3.102711,1.999498
261.039976,3.102429,1.999498
261.559969,3.102137,1.999498
262.079970,3.101853,1.999537
262.599959,3.101561,1.999524
263.119954,3.101276,1.999524
263.639960,3.100990,1.999537
264.160002,3.100705,1.999498
264.679978,3.100416,1.999498
265.199972,3.100132,1.999511
265.719973,3.099843,1.999498
266.239970,3.099556,1.999511
266.759967,3.099271,1.999524
267.279954,3.098987,1.999550
267.799961,3.098701,1.999537
268.320010,3.098415,1.999537
268.839964,3.098127,1.999524
269.359955,3.097838,1.999537
269.879978,3.097555,1.999524
270.399941,3.097268,1.999511
270.919963,3.096982,1.999524
271.439976,3.096695,1.999537
271.959963,3.096404,1.999550
272.479967,3.096121,1.999524
272.999973,3.095832,1.999537
273.519964,3.095543,1.999537
274.039947,3.095256,1.999511
274.559962,3.094966,1.999511
275.079957,3.094677,1.999511
