seconds,	voltage
770.515843,	142.905820	
771.925846,	142.903750	
773.335855,	142.901430	
774.745849,	142.899230	
776.155845,	142.897290	
777.565855,	142.895220	
778.975850,	142.893420	
780.385850,	142.891090	
781.795851,	142.889280	
783.205849,	142.887080	
784.615847,	142.885020	
786.025848,	142.883080	
787.435839,	142.881400	
788.845837,	142.879070	
790.255853,	142.877260	
791.665849,	142.875320	
793.075853,	142.873130	
794.485854,	142.870930	
795.895851,	142.869120	
797.305845,	142.867050	
798.715848,	142.864860	
800.125848,	142.862790	
801.535854,	142.861110	
802.945855,	142.859040	
804.355848,	142.857100	
805.765851,	142.854390	
807.175851,	142.852320	
808.585851,	142.850000	
809.995853,	142.848320	
811.405854,	142.846380	
812.815845,	142.844570	
814.225845,	142.842240	
815.635850,	142.840430	
817.045878,	142.838620	
818.455850,	142.836560	
819.865845,	142.834490	
821.275858,	142.832420	
822.685847,	142.830610	
824.095851,	142.828670	
825.505850,	142.826610	
826.915849,	142.824410	
828.325847,	142.822470	
829.735855,	142.820530	
831.145852,	142.818600	
832.555852,	142.816660	
833.965850,	142.814460	
835.375852,	142.812780	
836.785847,	142.810450	
838.195847,	142.808900	
839.605849,	142.807090	
841.015844,	142.804640	
842.425854,	142.802960	
843.835849,	142.800760	
845.245851,	142.799210	
846.655848,	142.797010	
848.065851,	142.795210	
849.475849,	142.793270	
850.885850,	142.791330	
852.295852,	142.789260	
853.705843,	142.787060	
855.115843,	142.785260	
856.525855,	142.783190	
857.935848,	142.781510	
859.345853,	142.779440	
860.755846,	142.777760	
862.165849,	142.775560	
863.575859,	142.773750	
864.985853,	142.772070	
866.395848,	142.769750	
867.805853,	142.767810	
869.215851,	142.766000	
870.625846,	142.764190	
872.035849,	142.762120	
873.445849,	142.760190	
874.855845,	142.758250	
876.265849,	142.756440	
877.675850,	142.754630	
879.085847,	142.752560	
880.495855,	142.750240	
881.905847,	142.748560	
883.315934,	142.746620	
884.725851,	142.744680	
886.135851,	142.743000	
887.545844,	142.741190	
888.955850,	142.739250	
890.365859,	142.737050	
891.775848,	142.735250	
893.185849,	142.733310	
894.595848,	142.731500	
896.005849,	142.729560	
897.415846,	142.727880	
898.825847,	142.725680	
900.235847,	142.724000	
901.645846,	142.721810	
903.055850,	142.720000	
904.465849,	142.717800	
905.875841,	142.716640	
907.285851,	142.714570	
908.695849,	142.712630	
910.105855,	142.710690	
911.515848,	142.708750	
912.925858,	142.706950	
914.335849,	142.704750	
915.745840,	142.703200	
917.155839,	142.701260	
918.565849,	142.699450	
919.975848,	142.697380	
921.385849,	142.695830	
922.795845,	142.693640	
924.205847,	142.691830	
925.615840,	142.689760	
927.025859,	142.687950	
928.435848,	142.686140	
929.845846,	142.684590	
931.255846,	142.682780	
932.665842,	142.680450	
934.075845,	142.678770	
935.485854,	142.676840	
936.895849,	142.675160	
938.305845,	142.673350	
939.715847,	142.671540	
941.125841,	142.669470	
942.535846,	142.667400	
943.945849,	142.665720	
945.355842,	142.663910	
946.765837,	142.662100	
948.175845,	142.660040	
949.585852,	142.658490	
950.995847,	142.656810	
952.405849,	142.654870	
953.815851,	142.652800	
955.225851,	142.651120	
956.635852,	142.649180	
958.045847,	142.647500	
959.455849,	142.645690	
960.865850,	142.643750	
962.275931,	142.641820	
963.685850,	142.639750	
965.095847,	142.638590	
966.505845,	142.636130	
967.915852,	142.634450	
969.325851,	142.632770	
970.735850,	142.630960	
972.145844,	142.629020	
973.555850,	142.627090	
974.965844,	142.625530	
976.375844,	142.623730	
977.785847,	142.621920	
979.195849,	142.619850	
980.605847,	142.617910	
982.015849,	142.616230	
983.425848,	142.614680	
984.835847,	142.612610	
986.245853,	142.611320	
987.655844,	142.608990	
989.065848,	142.607310	
990.475846,	142.605500	
991.885855,	142.603700	
993.295846,	142.602140	
994.705845,	142.600080	
996.115860,	142.598400	
997.525852,	142.596720	
998.935849,	142.594780	
1000.345852,	142.592970	
1001.755845,	142.591030	
1003.165849,	142.589350	
1004.575848,	142.587410	
1005.985856,	142.585730	
1007.395850,	142.583540	
1008.805853,	142.581990	
1010.215851,	142.580050	
1011.625846,	142.578630	
1013.035852,	142.576820	
1014.445847,	142.575270	
1015.855849,	142.573070	
1017.265852,	142.571650	
1018.675848,	142.569840	
1020.085842,	142.567770	
1021.495852,	142.566220	
1022.905841,	142.564150	
1024.315851,	142.562600	
1025.725843,	142.560790	
1027.135884,	142.558980	
1028.545869,	142.557170	
1029.955849,	142.555110	
1031.365847,	142.553560	
1032.775842,	142.552010	
1034.185850,	142.549680	
1035.595847,	142.547870	
1037.005856,	142.545930	
1038.415850,	142.544380	
1039.825847,	142.542700	
1041.235854,	142.540890	
1042.645851,	142.538950	
1044.055845,	142.537150	
1045.465851,	142.535850	
1046.875840,	142.533910	
1048.285848,	142.532230	
1049.695849,	142.530550	
1051.105851,	142.528750	
1052.515845,	142.527070	
1053.925852,	142.525510	
1055.335845,	142.523580	
1056.745848,	142.521900	
1058.155843,	142.520090	
1059.565845,	142.518280	
1060.975852,	142.516470	
1062.385850,	142.514790	
1063.795849,	142.513240	
1065.205849,	142.511560	
1066.615847,	142.509620	
1068.025847,	142.508200	
